"NAME","EXTERNAL","POSTALCODE","OPPTYPE","PROVIDERLONGID","PROVIDERNAME","EVENTNAME","STARTDATE","ENDDATE","VOLID","STATUS","VOLLONGID","FIRSTNAME","SURNAME","EMAIL","MOBILE","SESSIONNAME","SESSIONID","SESSIONDATE","SESSIONSTARTTIME","SESSIONHOURS","HOURSLOGGED","HOURSLOGGEDPROVIDER","ATTENDED","JOINEDON","PLACEMENTID","PROVIDERCHECKED","TEAMLEADERCHECKED"
"Birmingham City Football Club - Helping out coaching young kids that are part of the Birmingham City training camp.","Fully Managed","B154FG","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Summer Football Fair","2025-10-08","2025-11-06","","Applied","","","","","","","","","","","","","","","2","",""
"Birmingham City Football Club - Helping out coaching young kids that are part of the Birmingham City training camp.","Fully Managed","B154FG","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Summer Football Fair","2025-10-08","2025-11-06","","Joined","","","","","","","2","2025-10-08","17:00","2","","","","","2","",""
"Birmingham City Football Club - Helping out coaching young kids that are part of the Birmingham City training camp.","Fully Managed","B154FG","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Summer Football Fair","2025-10-08","2025-11-06","","Joined","","","","","","","3","2025-10-09","17:00","2","","","","","2","",""
"Birmingham City Football Club - Helping out coaching young kids that are part of the Birmingham City training camp.","Fully Managed","B154FG","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Summer Football Fair","2025-10-08","2025-11-06","","Joined","","","","","","","4","2025-10-10","17:00","2","","","","","2","",""
"Birmingham City Football Club - Helping out coaching young kids that are part of the Birmingham City training camp.","Fully Managed","B154FG","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Summer Football Fair","2025-10-08","2025-11-06","","Joined","","","","","","","5","2025-10-11","17:00","2","","","","","2","",""
"Birmingham City Football Club - Helping out coaching young kids that are part of the Birmingham City training camp.","Fully Managed","B154FG","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Summer Football Fair","2025-10-08","2025-11-06","","Joined","","","","","","","6","2025-10-12","17:00","2","","","","","2","",""
"Birmingham City Football Club - Helping out coaching young kids that are part of the Birmingham City training camp.","Fully Managed","B154FG","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Summer Football Fair","2025-10-08","2025-11-06","","Joined","","","","","","","7","2025-10-13","17:00","2","","","","","2","",""
"Birmingham City Football Club - Helping out coaching young kids that are part of the Birmingham City training camp.","Fully Managed","B154FG","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Summer Football Fair","2025-10-08","2025-11-06","","Joined","","","","","","","8","2025-10-14","17:00","2","","","","","2","",""
"Birmingham City Football Club - Helping out coaching young kids that are part of the Birmingham City training camp.","Fully Managed","B154FG","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Summer Football Fair","2025-10-08","2025-11-06","","Joined","","","","","","","9","2025-10-15","17:00","2","","","","","2","",""
"Birmingham City Football Club - Helping out coaching young kids that are part of the Birmingham City training camp.","Fully Managed","B154FG","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Summer Football Fair","2025-10-08","2025-11-06","","Joined","","","","","","","10","2025-10-16","17:00","2","","","","","2","",""
